RefDes;Layer;LocationX;LocationY;Rotation
ICMU1;Top;58.800;26.290;0
C4;Top;69.220;32.000;0
C2;Top;69.220;28.830;0
ICMC1;Top;65.660;27.560;90
Q1;Top;49.780;28.830;0
Q3;Top;42.670;26.160;0
Q4;Top;37.850;27.430;90
R1;Top;60.452;4.191;0
R2;Top;64.389;4.191;0
R5;Top;35.560;31.880;0
R6;Top;34.670;27.690;90
R7;Top;46.610;26.290;0
R11;Top;37.850;22.860;90
R9;Top;38.480;18.540;0
R10;Top;64.260;21.590;90
U1;Top;31.240;28.580;90
C1;Top;18.542;37.338;0
C3;Top;8.890;37.338;0
U2;Top;15.875;16.129;0
U4;Top;11.811;29.464;180
